# kind	commit	bench	measured	ms
rat-O1	3951f9bc039b7d883206a8012f570754d14a3f8a	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:14:18+00:00	0
rat-O0	2cf21c38b0e042ecffb5217d63f694afb85b374e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:14:37+00:00	0
rat-O1	2cf21c38b0e042ecffb5217d63f694afb85b374e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:14:45+00:00	0
rat-O0	6edce7fa502f90ff04e1b78e780232194a172e8d	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:15:41+00:00	7675
rat-O1	6edce7fa502f90ff04e1b78e780232194a172e8d	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:16:25+00:00	7318
rat-O0	86323b39851d9e5c40eb892a5a6aa61100af329c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:17:21+00:00	7660
rat-O1	86323b39851d9e5c40eb892a5a6aa61100af329c	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:18:05+00:00	7341
rat-O0	2da94eba0e3324196710af3bb4a75056dbad4569	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:19:00+00:00	7647
rat-O1	2da94eba0e3324196710af3bb4a75056dbad4569	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:19:44+00:00	7286
rat-O0	439d1442929e0dd9f0c7ee00fed33de5892cc375	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:20:41+00:00	7593
rat-O1	439d1442929e0dd9f0c7ee00fed33de5892cc375	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:21:24+00:00	7281
rat-O0	6f5e15d5c37b1f9acefb490ded4cdd118966a1da	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:21:40+00:00	0
rat-O1	6f5e15d5c37b1f9acefb490ded4cdd118966a1da	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:21:46+00:00	0
rat-O0	3a608bc555788dcd9aa4a1ec565ca9b3c1bb2d66	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:22:02+00:00	0
rat-O1	3a608bc555788dcd9aa4a1ec565ca9b3c1bb2d66	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:22:09+00:00	0
rat-O0	88957b94d45293378f677ae413110ddbebccdf2e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:22:24+00:00	0
rat-O1	88957b94d45293378f677ae413110ddbebccdf2e	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:22:31+00:00	0
rat-O0	cc88f54a247c655a5e45c522d8c88c77f7815dbb	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:23:26+00:00	7613
rat-O1	cc88f54a247c655a5e45c522d8c88c77f7815dbb	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:24:09+00:00	7245
rat-O0	3dc5a002ec1b36f8a34a80f51b963e2ab5b2c591	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:25:04+00:00	7592
rat-O1	3dc5a002ec1b36f8a34a80f51b963e2ab5b2c591	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:25:48+00:00	7230
rat-O0	34fc58aead5767bae0ecfd3b83cdd0c224e65902	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:26:43+00:00	7613
rat-O1	34fc58aead5767bae0ecfd3b83cdd0c224e65902	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:27:27+00:00	7282
rat-O0	3051ed2db7415c2d863cad2b05ad82f6417d32a8	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:28:22+00:00	7602
rat-O1	3051ed2db7415c2d863cad2b05ad82f6417d32a8	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:29:32+00:00	11670
rat-O0	1507a1d61ce3bb33bd6d6b8c3d85651db8e20cda	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:30:27+00:00	7629
rat-O1	1507a1d61ce3bb33bd6d6b8c3d85651db8e20cda	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:31:37+00:00	11691
rat-O0	eae7cc8a98537c81ac48468f3d38400827b58fc6	c0e4bd4887ff071a15fdc02939c41cc20fcf578e	2026-08-23T09:32:33+00:00	7660
